Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails
SRR10998559	75.0	63.23292938870053	75	42.0	30832965.0	20.0
SRR10998560	75.0	66.88277755671302	75	42.0	31031487.0	20.0
SRR10998561	75.0	68.93335815147142	75	42.0	32372917.0	20.0
SRR10998562	75.0	65.98524206729918	75	42.0	31254778.0	20.0
SRR10998563	75.0	53.882826163899324	75	42.0	24170559.0	20.0
SRR10998564	75.0	61.02688174784241	75	42.0	29930392.0	20.0
SRR10998565	75.0	61.871307925027175	75	42.0	32030315.0	20.0
SRR10998566	75.0	66.26400412831669	75	42.0	30847372.0	20.0
SRR10998567	75.0	66.32845241064874	75	42.0	39988740.0	20.0
SRR10998568	75.0	66.96870628310246	75	43.0	34203388.0	20.0
SRR10998569	75.0	68.1396537678955	75	42.0	27462505.0	20.0
SRR10998570	75.0	65.79909178921544	75	42.0	31872745.0	20.0
