target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	332.556	5.83865
Solyc05g010600.3.1	1637	1388	8	0.256726
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	506	7.92483
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	218.399	19.1118
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	13	0.491132
Solyc04g011650.3.1	2656	2407	739	13.6753
Solyc11g065557.1.1	2040	1791	1	0.0248699
Solyc04g049610.3.1	4183	3934	8	0.0905784
Solyc02g087935.1.1	2256	2007	3498.99	77.654
Solyc02g085370.3.1	4460	4211	284.846	3.01296
Solyc01g095480.3.1	2429	2180	745.913	15.2405
Solyc05g044580.3.1	629	380	144	16.879
Solyc02g065220.3.1	3659	3410	0	0
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	375	11.7877
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	1	0.224959
Solyc08g016080.3.1	2196	1947	848	19.3999
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	0	0
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	14.5835	1.0614
Solyc04g009610.2.1	353	104.031	7	2.99712
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	351	5.13608
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	776.463	24.8457
Solyc08g062290.3.1	1120	871	1	0.0511388
Solyc11g062120.2.1	3045	2796	635	10.1159
Solyc05g006680.3.1	2159	1910	250	5.83009
Solyc07g009550.2.1	324	75.5516	0	0
Solyc02g093650.3.1	2422	2173	15	0.307468
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	0	0
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	1279	19.5905
Solyc03g005480.3.1	1679	1430	39	1.21478
Solyc07g062550.3.1	2545	2296	1	0.0193998
Solyc05g005210.3.1	1678	1429	285	8.88345
Solyc08g016440.3.1	989	740	1362	81.9812
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	29	3.24552
Solyc09g056410.2.1	678	429	2	0.207655
Solyc03g059050.2.1	1051	802	1	0.0555385
Solyc04g054660.2.1	555	306	0	0
Solyc10g080940.2.1	2583	2334	3898.94	74.407
Solyc04g005680.3.1	1979	1730	8500.35	218.857
Solyc05g051290.3.1	1387	1138	62	2.42671
Solyc04g050440.3.1	1797	1548	1	0.0287738
Solyc01g059853.1.1	516	267	1	0.166824
Solyc03g078580.3.1	543	294	73	11.0597
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	3244.26	36.0903
Solyc06g007680.2.1	2063	1814	171	4.19882
Solyc01g089960.3.1	1197	948	0	0
Solyc03g006120.3.1	1661	1412	0	0
Solyc07g054000.3.1	701	452	14	1.37962
Solyc02g032360.3.1	521	272	6	0.982542
Solyc02g089140.2.1	447	198	1	0.224959
Solyc03g062910.3.1	5017	4768	40.3528	0.376969
Solyc08g014020.3.1	624	375	420	49.8869
Solyc06g043113.1.1	1455	1206	0	0
Solyc01g150007.1.1	444	195	5	1.1421
Solyc09g031543.1.1	4368	4119	163	1.76264
Solyc08g067670.3.1	656	407	21	2.29823
Solyc10g084180.2.1	3498	3249	1728	23.6899
Solyc07g041510.2.1	3769	3520	769	9.73089
Solyc03g118770.3.1	1385	1136	0	0
Solyc07g024015.1.1	8967	8718	0	0
Solyc07g009360.2.1	363	114.009	4	1.56275
Solyc03g082950.3.1	878	629	0	0
Solyc11g022440.2.1	258	27.8014	0	0
Solyc03g019970.3.1	1779	1530	0	0
Solyc01g006790.2.1	731	482	0	0
Solyc05g018220.2.1	558	309	0	0
Solyc01g107220.2.1	1167	918	0	0
Solyc05g051340.2.1	2629	2380	178	3.33129
Solyc09g075840.3.1	328	79.3918	0	0
Solyc03g058370.2.1	1017	768	2	0.115995
Solyc05g007250.3.1	1074	825	3590.51	193.852
Solyc04g048980.3.1	553	304	0	0
Solyc01g011091.1.1	8096	7847	394.607	2.23991
Solyc04g051680.3.1	2052	1803	0	0
Solyc04g082200.2.1	1157	908	29417	1443.05
Solyc11g044632.1.1	686	437	0	0
Solyc06g007430.2.1	2112	1863	1189	28.4274
Solyc08g036560.2.1	741	492	166	15.0284
Solyc01g090340.2.1	988	739	0	0
Solyc08g076720.3.1	4114	3865	114	1.31378
Solyc02g068930.3.1	1005	756	210	12.3728
Solyc01g095170.2.1	922	673	210	13.8987
Solyc07g018400.3.1	174	10.1452	0	0
Solyc07g006300.3.1	2508	2259	1293	25.4948
Solyc09g072910.2.1	1314	1065	0	0
Solyc08g075320.3.1	2532	2283	80.1278	1.56331
Solyc03g044273.1.1	5441	5192	20.1378	0.172761
Solyc09g005730.3.1	735	486	522	47.8413
Solyc04g079830.2.1	2469	2220	67	1.34428
Solyc07g041820.2.1	3138	2889	1	0.0154178
Solyc01g044510.2.1	547	298	0	0
Solyc03g071853.1.1	894	645	0	0
Solyc01g095070.3.1	869	620	678	48.7087
Solyc06g007890.3.1	568	319	0	0
Solyc09g055610.2.1	105	6.29398	0	0
Solyc04g009590.3.1	568	319	0	0
Solyc02g077240.3.1	2165	1916	10690	248.514
Solyc03g083100.3.1	1862	1613	292	8.06338
Solyc08g006645.1.1	406	157	0	0
Solyc04g007825.1.1	1329	1080	0	0
Solyc03g044060.3.1	3067	2818	496	7.83988
Solyc06g008980.3.1	1496	1247	1	0.0357193
Solyc10g050757.1.1	1464	1215	3	0.10998
Solyc01g094710.2.1	359	110.015	1	0.40487
Solyc05g017830.2.1	232	19.08	0	0
Solyc11g027940.2.1	462	213	0	0
Solyc03g034130.3.1	840	591	0	0
Solyc04g011990.2.1	3364	3115	5.07543	0.0725745
Solyc07g017560.3.1	2822	2573	0	0
Solyc01g005380.2.1	1818	1569	248.587	7.05707
Solyc12g005820.2.1	826	577	8	0.617566
Solyc03g116170.3.1	1234	985	673	30.4332
Solyc04g016010.3.1	2019	1770	53.0606	1.33527
Solyc12g098590.2.1	2992	2743	68	1.10421
Solyc03g082575.1.1	2097	1848	1725.65	41.5929
Solyc09g020070.2.1	1401	1152	0	0
Solyc07g017330.2.1	730	481	0	0
Solyc01g021700.2.1	1146	897	0	0
Solyc09g055550.3.1	1685	1436	15	0.465271
Solyc01g014537.1.1	654	405	3	0.32994
Solyc03g098750.3.1	1586	1337	1096	36.513
Solyc06g054230.3.1	1995	1746	2	0.0510217
Solyc09g010340.2.1	1272	1023	0	0
Solyc06g043140.3.1	1035	786	12.9	0.731033
Solyc03g034165.1.1	1203	954	23	1.07386
Solyc01g012640.2.1	561	312	0	0
Solyc05g023660.2.1	1239	990	0	0
Solyc11g008140.2.1	1826	1577	14	0.395426
Solyc02g062930.3.1	1567	1318	1417	47.8876
Solyc08g066400.2.1	953	704	0	0
Solyc10g036690.2.1	93	5.90448	0	0
Solyc09g011710.3.1	939	690	4021	259.57
Solyc12g096860.2.1	2683	2434	52	0.951594
Solyc02g063040.3.1	1276	1027	288	12.4908
Solyc06g076840.2.1	2830	2581	0	0
Solyc01g056940.2.1	756	507	6049.9	531.507
Solyc06g054620.3.1	855	606	37	2.71956
Solyc01g056270.2.1	701	452	3	0.295632
Solyc01g020230.3.1	2531	2282	31.4473	0.613813
Solyc01g014107.1.1	766	517	22	1.8954
Solyc06g052140.2.1	885	636	19.8438	1.38975
Solyc05g052990.3.1	658	409	127	13.8309
Solyc06g033810.2.1	609	360	28.1311	3.48059
Solyc01g009690.2.1	2586	2337	390.031	7.43376
Solyc02g078420.2.1	309	61.7147	0	0
Solyc07g041240.2.1	468	219	8	1.6271
Solyc12g038770.2.1	729	480	0	0
Solyc06g052080.3.1	2780	2531	420	7.39139
Solyc11g020740.2.1	90	5.8148	0	0
Solyc01g014180.3.1	976	727	9869	604.655
Solyc12g038350.2.1	872	623	0	0
Solyc03g031650.3.1	738	489	260	23.6828
Solyc11g072410.2.1	2582	2333	1046.53	19.9804
Solyc06g008100.3.1	663	414	4	0.430357
Solyc09g083445.1.1	618	369	1	0.12071
Solyc06g064740.3.1	358	109.017	80.211	32.7723
Solyc02g062260.2.1	226	17.6374	0	0
Solyc11g006650.2.1	2753	2504	7	0.124518
Solyc10g008330.3.1	689	440	1	0.101232
Solyc10g036640.2.1	240	21.2959	0	0
Solyc11g063580.2.1	291	47.0146	2	1.89481
Solyc01g111080.3.1	23222	22973	4632.86	8.98256
