target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	675.397	9.69834
Solyc05g010600.3.1	1637	1388	5	0.131232
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	2063	26.4258
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	276.548	19.793
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	124.725	3.85387
Solyc04g011650.3.1	2656	2407	789	11.9415
Solyc11g065557.1.1	2040	1791	6	0.122043
Solyc04g049610.3.1	4183	3934	20	0.185206
Solyc02g087935.1.1	2256	2007	3401.94	61.7501
Solyc02g085370.3.1	4460	4211	393.084	3.40063
Solyc01g095480.3.1	2429	2180	3531.94	59.0222
Solyc05g044580.3.1	629	380	142	13.6133
Solyc02g065220.3.1	3659	3410	7	0.0747829
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	356	9.15249
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	1	0.022783
Solyc12g035822.1.1	447	198	0	0
Solyc08g016080.3.1	2196	1947	3541	66.255
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	1.00821	0.0920531
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	1.0166	0.0605142
Solyc04g009610.2.1	353	104.031	21	7.35385
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	1130	13.5236
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	1235.13	32.3247
Solyc08g062290.3.1	1120	871	3	0.125476
Solyc11g062120.2.1	3045	2796	110	1.43323
Solyc05g006680.3.1	2159	1910	388	7.40044
Solyc07g009550.2.1	324	75.5516	1.86568	0.899604
Solyc02g093650.3.1	2422	2173	3	0.0502945
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	207	8.79931
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	2281	28.5752
Solyc03g005480.3.1	1679	1430	40	1.01902
Solyc07g062550.3.1	2545	2296	4	0.0634669
Solyc05g005210.3.1	1678	1429	395	10.0699
Solyc08g016440.3.1	989	740	487	23.9749
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	179	16.3843
Solyc09g056410.2.1	678	429	1	0.0849184
