target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	514.408	13.9604
Solyc05g010600.3.1	1637	1388	10	0.496046
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	1290	31.23
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	171.461	23.1932
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	105.815	6.17937
Solyc04g011650.3.1	2656	2407	379	10.8411
Solyc11g065557.1.1	2040	1791	3.10643	0.11942
Solyc04g049610.3.1	4183	3934	14	0.245022
Solyc02g087935.1.1	2256	2007	1952.65	66.9868
Solyc02g085370.3.1	4460	4211	235.511	3.85069
Solyc01g095480.3.1	2429	2180	1751.97	55.3328
Solyc05g044580.3.1	629	380	126	22.8296
Solyc02g065220.3.1	3659	3410	2	0.040382
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	2	0.0786422
Solyc07g025390.3.1	1666	1417	352	17.1035
Solyc01g090660.3.1	2518	2269	1	0.0303443
Solyc11g020875.1.1	1848	1599	1	0.0430589
Solyc12g035822.1.1	447	198	0	0
Solyc08g016080.3.1	2196	1947	4800	169.741
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	0	0
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	2	0.225004
Solyc04g009610.2.1	353	104.031	15	9.92749
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	760	17.1902
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	1141.66	56.4691
Solyc08g062290.3.1	1120	871	6	0.474291
Solyc11g062120.2.1	3045	2796	100	2.46249
Solyc05g006680.3.1	2159	1910	341	12.2923
Solyc07g009550.2.1	324	75.5516	0	0
Solyc02g093650.3.1	2422	2173	4	0.126739
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	41	3.29393
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	2	0.819658
Solyc06g007110.3.1	3157	2908	2127	50.3599
Solyc03g005480.3.1	1679	1430	25	1.20369
Solyc07g062550.3.1	2545	2296	12	0.35985
Solyc05g005210.3.1	1678	1429	213	10.2626
Solyc08g016440.3.1	989	740	385	35.8212
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	131	22.6621
Solyc09g056410.2.1	678	429	1	0.160492
Solyc03g059050.2.1	1051	802	8	0.686795
Solyc04g054660.2.1	555	306	0	0
Solyc10g080940.2.1	2583	2334	12072.1	356.118
Solyc04g005680.3.1	1979	1730	5979.98	237.994
Solyc05g051290.3.1	1387	1138	179	10.8299
Solyc04g050440.3.1	1797	1548	0	0
Solyc01g059853.1.1	516	267	6	1.54722
Solyc03g078580.3.1	543	294	489	114.518
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	1635.83	28.1292
Solyc06g007680.2.1	2063	1814	272	10.3239
Solyc01g089960.3.1	1197	948	0	0
Solyc03g006120.3.1	1661	1412	1	0.0487615
